Listing Id,Minimum Nights,Maximum Nights,Calendar Updated,Availability 30,Availability 60,Availability 90,Availability 365
66599,19,220,2 weeks ago,29,44,74,220
66600,3,1125,3 weeks ago,0,0,0,0
66601,1,1125,today,17,47,77,352
66602,1,1125,2 days ago,1,6,13,206
66603,3,1125,3 months ago,0,0,0,0
66604,3,3,2 weeks ago,1,4,21,21
66605,2,1125,1 week ago,3,3,3,3
66606,1,1125,13 months ago,0,0,0,0
66607,1,1125,18 months ago,0,0,0,0
66608,1,1125,6 months ago,0,0,0,118
66609,1,10000,yesterday,4,13,19,232
66610,3,1125,5 weeks ago,0,7,37,37
66611,1,1125,2 weeks ago,3,13,25,264
66612,1,30,5 days ago,23,53,83,298
66613,7,1125,12 months ago,0,0,0,0
66614,1,1125,14 months ago,0,0,0,0
66615,1,1125,today,7,19,34,306
66616,2,1125,today,15,35,62,337
66617,1,4,5 months ago,0,0,0,0
66618,2,29,2 months ago,10,30,60,60
66619,2,28,a week ago,16,46,71,346
66620,3,7,4 weeks ago,23,53,83,114
66621,1,1125,today,7,7,7,7
66622,3,90,today,14,44,74,349
66623,1,1125,3 weeks ago,21,51,78,168
66624,3,28,2 weeks ago,24,54,84,130
66625,1,3,today,25,52,68,68
66626,2,30,today,15,30,60,142
66627,2,29,today,28,55,85,313
66628,2,1125,today,15,39,65,298
66629,1,1125,a week ago,2,29,59,334
66630,1,7,7 weeks ago,30,60,90,365
66631,3,1125,a week ago,12,26,53,282
66632,2,1125,today,8,31,53,312
66633,2,1125,today,9,33,59,310
66634,2,1125,today,5,23,50,301
66635,2,1125,today,14,34,60,318
66636,2,1125,today,0,0,12,143
66637,28,1125,yesterday,29,52,82,357
66638,1,1125,today,1,1,1,1
66639,2,3,2 months ago,0,0,0,0
66640,2,3,4 weeks ago,0,0,0,2
66641,1,10,4 days ago,30,60,90,180
66642,1,1125,2 weeks ago,10,29,59,324
66643,1,1125,4 days ago,26,56,86,361
66644,1,1125,today,30,60,90,365
66645,1,1125,6 days ago,30,60,90,365
66646,2,14,6 days ago,21,47,77,164
66647,1,1125,7 months ago,0,0,0,0
66648,7,90,5 days ago,24,54,84,359
66649,2,1125,today,24,54,84,174
66650,2,21,3 weeks ago,27,49,79,169
66651,2,1125,4 days ago,8,38,68,159
66652,4,7,6 days ago,0,7,7,68
66653,2,1125,today,6,23,48,164
66654,2,30,3 months ago,27,57,87,87
66655,2,1125,6 weeks ago,30,60,90,365
66656,2,30,yesterday,1,31,61,333
66657,1,1125,5 days ago,28,33,63,338
66658,1,1125,2 days ago,10,10,10,265
66659,7,18,5 days ago,4,4,4,4
66660,4,1125,7 months ago,28,58,88,363
66661,1,1125,6 months ago,0,0,0,0
66662,4,4,3 months ago,0,0,0,0
66663,4,1125,today,12,23,41,100
66664,14,1125,10 months ago,0,0,0,0
66665,1,28,5 days ago,0,7,37,96
66666,1,14,3 weeks ago,0,0,0,21
66667,30,150,3 months ago,5,5,34,277
66668,3,1125,3 months ago,0,0,0,0
66669,30,35,6 months ago,0,0,1,158
66670,1,365,a week ago,0,0,0,272
66671,1,60,5 days ago,15,36,64,332
66672,2,15,a week ago,9,16,16,16
66673,3,1125,2 days ago,5,14,23,55
66674,10,1125,14 months ago,0,0,0,0
66675,14,1125,18 months ago,0,0,0,0
66676,11,1125,3 months ago,0,0,0,0
66677,5,10,14 months ago,0,0,0,0
66678,1,90,7 weeks ago,9,29,56,192
66679,2,1125,2 days ago,2,11,32,154
66680,2,1125,a week ago,8,14,33,269
66681,2,1125,5 days ago,5,17,47,112
66682,4,1125,3 months ago,0,0,0,0
66683,1,1125,16 months ago,0,0,0,0
66684,2,1125,4 weeks ago,0,0,0,0
66685,2,1125,today,7,11,30,236
66686,5,16,never,0,0,0,0
66687,2,1125,3 months ago,0,0,0,0
66688,5,70,3 months ago,0,0,0,216
66689,1,1125,a week ago,11,17,34,63
66690,2,7,5 weeks ago,20,50,70,160
66691,2,90,3 days ago,2,14,44,319
66692,1,1125,a week ago,7,13,26,275
66693,2,3,today,3,3,3,3
66694,1,1125,3 days ago,11,20,40,189
66695,1,11,5 weeks ago,0,0,0,0
66696,1,1125,2 weeks ago,0,0,0,137
66697,2,60,2 days ago,0,7,37,111
66698,3,7,4 weeks ago,29,59,89,89
66699,3,1125,2 weeks ago,24,54,84,174
66700,1,7,yesterday,9,12,12,12
66701,1,25,yesterday,16,42,72,258
66702,1,27,a week ago,0,5,13,219
66703,1,1125,15 months ago,0,0,0,0
66704,2,1125,2 weeks ago,3,24,54,54
66705,1,1125,17 months ago,0,0,0,0
66706,2,90,4 days ago,12,42,72,152
66707,2,1125,today,0,0,0,0
66708,1,1125,today,3,16,27,278
66709,1,3,1 week ago,0,28,58,333
66710,1,1125,4 days ago,1,8,11,208
66711,1,730,today,2,6,23,40
66712,3,1125,7 months ago,0,0,0,0
66713,30,1125,2 weeks ago,15,15,15,88
66714,2,1125,yesterday,13,32,59,59
66715,2,1125,today,0,26,56,295
66716,4,20,2 months ago,0,0,0,126
66717,2,1125,4 weeks ago,0,0,0,0
66718,2,60,4 months ago,0,0,0,0
66719,4,1125,19 months ago,0,0,0,0
66720,3,4,3 weeks ago,0,0,0,0
66721,1,14,11 months ago,0,0,0,0
66722,3,21,17 months ago,0,0,0,0
66723,2,1125,7 weeks ago,4,17,33,276
66724,60,1125,yesterday,0,0,2,2
66725,1,1125,never,30,60,90,365
66726,1,1125,today,0,1,10,178
66727,1,4,4 weeks ago,22,45,75,350
66728,1,2,4 months ago,0,0,0,0
66729,2,2,7 weeks ago,0,0,0,0
66730,2,30,2 days ago,30,60,90,90
66731,3,1125,5 months ago,0,0,0,0
66732,2,23,2 weeks ago,0,0,0,0
66733,2,40,4 days ago,1,1,13,29
66734,3,35,a week ago,0,17,32,63
66735,1,1125,3 weeks ago,30,60,90,365
66736,1,7,yesterday,16,45,68,68
66737,2,14,today,23,49,79,105
66738,2,1125,16 months ago,30,60,90,365
66739,2,1125,6 days ago,29,59,89,364
66740,2,18,a week ago,28,58,88,363
66741,1,1125,3 months ago,0,0,0,213
66742,2,1125,today,19,49,79,354
66743,2,365,a week ago,13,13,13,13
66744,1,90,3 weeks ago,23,50,80,355
66745,3,1125,a week ago,24,53,67,327
66746,2,6,16 months ago,0,0,0,0
66747,1,12,4 weeks ago,30,60,90,365
66748,2,15,a week ago,25,55,85,85
66749,2,17,3 weeks ago,4,4,4,4
66750,4,1125,5 weeks ago,19,19,36,298
66751,5,1125,5 days ago,30,53,83,358
66752,30,1125,today,3,33,63,338
66753,3,30,4 months ago,0,0,0,0
66754,1,25,2 weeks ago,0,5,11,78
66755,1,1125,22 months ago,0,0,0,0
66756,7,60,7 weeks ago,0,5,34,309
66757,1,3,2 months ago,30,60,90,365
66758,2,2,4 weeks ago,3,33,63,338
66759,7,10,6 months ago,27,57,87,362
66760,7,1125,4 days ago,29,59,89,179
66761,1,1125,21 months ago,0,0,0,0
66762,2,1125,a week ago,14,34,64,149
66763,1,1125,4 months ago,18,36,51,134
66764,2,31,yesterday,11,22,32,268
66765,2,60,5 months ago,27,57,87,87
66766,2,1125,today,15,35,51,310
66767,1,45,yesterday,4,28,55,60
66768,14,1125,3 weeks ago,1,29,48,48
66769,1,1125,7 weeks ago,29,57,87,362
66770,1,1125,4 months ago,0,0,0,0
66771,2,1125,6 days ago,13,42,72,162
66772,2,10,2 months ago,30,60,90,365
66773,2,1125,today,20,46,76,351
66774,3,14,9 months ago,2,13,33,301
66775,2,1125,yesterday,0,2,6,6
66776,1,1125,12 months ago,0,0,0,0
66777,3,29,3 weeks ago,24,54,84,359
66778,2,31,4 weeks ago,0,0,0,0
66779,1,30,5 days ago,11,28,55,265
66780,2,30,yesterday,12,29,41,119
66781,2,30,6 weeks ago,30,43,43,133
66782,1,10,yesterday,4,17,41,132
66783,3,12,6 months ago,0,0,0,0
66784,5,90,13 months ago,0,0,0,0
66785,3,70,2 weeks ago,24,54,83,83
66786,1,1125,9 months ago,0,0,0,0
66787,1,1125,today,25,55,85,360
66788,2,1125,a week ago,21,49,79,354
66789,4,1125,5 weeks ago,0,2,2,2
66790,2,30,3 weeks ago,2,31,32,307
66791,3,1125,2 weeks ago,30,55,85,360
66792,3,1125,2 weeks ago,26,54,81,352
66793,1,30,4 months ago,28,58,88,363
66794,1,1125,5 weeks ago,8,35,58,327
66795,1,1125,17 months ago,0,0,0,0
66796,2,1125,16 months ago,0,0,0,0
66797,3,1125,5 weeks ago,0,2,32,32
66798,1,1125,10 months ago,0,0,0,0
66799,3,1125,4 weeks ago,0,14,29,111
66800,3,365,1 week ago,27,57,87,362
66801,1,1125,today,3,33,63,338
66802,1,1125,5 months ago,0,0,0,0
66803,1,1125,7 months ago,0,0,0,0
66804,3,29,today,12,24,48,312
66805,2,1125,3 weeks ago,2,31,61,331
66806,2,1125,3 weeks ago,7,35,65,340
66807,10,1125,5 months ago,0,0,0,0
66808,14,1125,5 months ago,0,0,0,34
66809,2,5,4 weeks ago,15,36,66,66
66810,3,1125,4 days ago,0,5,5,129
66811,1,1125,3 weeks ago,21,51,81,356
66812,7,30,yesterday,7,27,41,255
66813,2,1125,today,0,0,0,0
66814,3,1125,today,9,25,55,330
66815,1,1125,4 days ago,16,41,43,318
66816,1,1125,7 months ago,0,0,0,0
66817,1,10,5 days ago,0,0,0,85
66818,3,14,4 weeks ago,0,0,25,275
66819,1,1125,8 months ago,0,0,0,0
66820,14,61,2 weeks ago,0,1,2,82
66821,2,7,10 months ago,0,0,0,0
66822,4,100,yesterday,12,18,19,294
66823,1,1125,2 weeks ago,2,2,2,61
66824,3,1125,2 months ago,0,0,0,0
66825,3,1125,21 months ago,0,0,0,0
66826,3,6,15 months ago,0,0,0,0
66827,1,1125,2 months ago,0,0,0,138
66828,7,14,5 weeks ago,0,0,0,0
66829,1,21,a week ago,9,30,54,276
66830,1,1125,4 days ago,0,15,21,21
66831,4,14,yesterday,15,38,68,197
66832,1,1125,16 months ago,0,0,0,0
66833,2,1125,5 weeks ago,0,5,28,28
66834,3,1125,a week ago,0,3,33,33
66835,20,20,a week ago,10,40,70,345
66836,7,12,11 months ago,0,0,0,0
66837,1,1125,4 months ago,0,0,0,0
66838,2,60,2 weeks ago,15,39,69,219
66839,1,90,1 week ago,4,18,45,309
66840,21,1125,4 days ago,19,49,79,79
66841,2,1125,today,0,0,0,22
66842,1,1125,2 weeks ago,9,20,45,77
66843,1,1125,today,13,43,73,163
66844,1,1125,yesterday,0,0,0,202
66845,20,365,15 months ago,0,0,0,0
66846,2,1125,a week ago,5,17,17,47
