Tweet_Id,Text,cre_tms,location,retweet_cnt,fav_cnt,user_name,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,urls
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,basicflower,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,bae_moody,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,AwobusuyiC,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,Anaezichi,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84136E+17,RT @keyspleasedubai: Luxury holiday homes in Downtown Dubai  https://t.co/WNpGgsoBSV  #SaudiArabia #dubai #donwntowndubai #airbnbpartner #h…,11-04-2018 18:26,,75,0,AFemaleThoughts,SaudiArabia, dubai, donwntowndubai, airbnbpartner,,,,,,,,https://goo.gl/dXAbby
9.84135E+17,"FREE AIRBNB™ TRAINING WITH BRIAN PAGE
VISIT OUR WEBSITE https://t.co/l6lHENdg5c NOW!!!
#airbnb #airbnbexperience… https://t.co/K46koTfsXw",11-04-2018 18:24,,0,0,airbnbprogram,airbnb, airbnbexperience,,,,,,,,,,http://www.AirBNBPlan.com
9.84135E+17,"The whole truth of being an Airbnb host. See if it is the right thing for your modern life
#HereForYou #General… https://t.co/1hVCDff9WJ",11-04-2018 18:24,,0,6,swsanmarcosca,HereForYou, General,,,,,,,,,,https://twitter.com/i/web/status/984134989506842624
9.84134E+17,love #travelling as much as I do? I could not recommend @airbnb enough! &amp; their customer service team! FANCY £25 OF… https://t.co/92JcbxR5MH,11-04-2018 18:21,,0,0,Planet_Maja,travelling,,,,,,,,,,,https://twitter.com/i/web/status/984134409539514388
9.84134E+17,"Caller Alex in Hollywood Hills says she’s not happy w #AirBnB renters in her cul-de-sac. “They’re noisy, they’re on… https://t.co/2Rt2C40wCP",11-04-2018 18:19,,0,0,AirTalk,AirBnB,,,,,,,,,,,https://twitter.com/i/web/status/984133774010011648
9.84133E+17,"RT @SWcarmelmtn: Is becoming an Airbnb host just the thing for you?
#HereForYou #General #Business #USA #Jobs #Airbnb #Host
Is becoming an…",11-04-2018 18:17,,1,0,SWanaheim,HereForYou, General, Business, USA, Jobs, Airbnb, Host,,,,,
9.84133E+17,"Just the truth of being a great Airbnb host. See if it is the right kind of thing for you
#HereForYou #General… https://t.co/rVDhB1QhQC",11-04-2018 18:15,,0,7,swcenthillsnv,HereForYou, General,,,,,,,,,,https://twitter.com/i/web/status/984132725543059457
9.84133E+17,"1523470460 Exceptional Value, Beautiful, and Spaciously Comfortable Too https://t.co/RKLuDiMU7T #VRBO #AIRBNB… https://t.co/Rwh9Z7u1F8",11-04-2018 18:14,,0,0,TaylorSlowe,VRBO, AIRBNB,,,,,,,,,,https://uvhr.jimdo.com
9.84132E+17,"If a landlord wanted to rent via #AirBnB for more than 120 days/year, they would have to pay a hefty fee, says @jennakchandler",11-04-2018 18:10,,0,1,AirTalk,AirBnB,,,,,,,,,,,
9.84131E+17,'The @AirBnB Effect' on #NYC #Housing #Shortage https://t.co/O22TKzY0Yr #CribRater #Crib #Apartments #Rent #RealEstate #AirBnB,11-04-2018 18:09,,0,0,WeRetaliate1st,NYC, Housing, Shortage, CribRater, Crib, Apartments, Rent, RealEstate, AirBnB,,,http://goo.gl/pudBsV
9.84131E+17,"@Airbnb @jennakchandler If you rent out your space via #AirBnB, what do you think?",11-04-2018 18:07,,0,0,AirTalk,AirBnB,,,,,,,,,,,
9.8413E+17,Want to know why #Airbnb is one of the most #customercentric brands? Listen to my interview with their head of #CX… https://t.co/bNSvGDfi0V,11-04-2018 18:06,,0,1,JuliaAhlfeldt,Airbnb, customercentric, CX,,,,,,,,,https://twitter.com/i/web/status/984130488389591041
9.8413E+17,RT @cottage_green: Circa Signs Historical Home Plaque Established Date House Sign https://t.co/ziqbVM7Knv via @Etsy #Historical #PropertyMa…,11-04-2018 18:03,,10,0,Galva_Craft,Historical,,,,,,,,,,,https://etsy.me/2IKeY7X
9.84129E+17,RT @cottage_green: Custom Signs #VacationRentals #Airbnb #Homeaway #Signage #Realestate #Etsy  https://t.co/6e7P4usC82 #WednesdayWisdom htt…,11-04-2018 18:00,,46,0,theirishbarn,VacationRentals, Airbnb, Homeaway, Signage, Realestate, Etsy, WednesdayWisdom,,,,,https://www.etsy.com/shop/greencottagedesign
9.84129E+17,"New on #Airbnb? Get $40 credit on your first trip, or credit as a host. Click here: https://t.co/9mqpHtWDOO",11-04-2018 18:00,,0,0,VisitSAmerica,Airbnb,,,,,,,,,,,https://ift.tt/2eKDVGE
9.84129E+17,This RSS feed URL is deprecated  #民泊 #民泊情報 #airbnb,11-04-2018 18:00,,0,0,stayllect,民泊, 民泊情報, airbnb,,,,,,,,,
9.84129E+17,"Book your stay with us for similar 5 Star experience. 
https://t.co/gsHaKlXaNj

#MaconTravelEasy … https://t.co/5098hP3GpT",11-04-2018 18:00,,0,0,Macontraveleasy,MaconTravelEasy,,,,,,,,,,,https://buff.ly/2q9uO5w
9.84128E+17,@AdmiraalHeijn de #airbnb cleaners?,11-04-2018 17:54,,0,0,netevenleuker,airbnb,,,,,,,,,,,
9.84126E+17,RT @bnbpi: #airbnb is like a dating site with fake profiles. They scam people by allowing fake listings and illegal accommodations. Stop su…,11-04-2018 17:48,,3,0,NoelP75,airbnb,,,,,,,,,,,
